Employee_ID,Merchant_Name,Amount_USD,Transaction_Timestamp,Department,Region,System_Audit_Flag
EMP_175,AWS Cloud Services,2693.09,2025-11-22 19:22:00,Field Sales,,FLAG_R2_SPLIT
EMP_175,AWS Cloud Services,2332.19,2025-11-22 19:34:00,Field Sales,,FLAG_R2_SPLIT
EMP_207,AWS Cloud Services,2733.05,2025-05-30 20:46:00,Field Sales,,FLAG_R2_SPLIT
EMP_207,AWS Cloud Services,2673.88,2025-05-30 20:58:00,Field Sales,,FLAG_R2_SPLIT
EMP_214,AWS Cloud Services,1628.76,2025-07-25 05:50:00,Software Engineering,,FLAG_R2_SPLIT
EMP_214,AWS Cloud Services,1457.81,2025-07-25 06:02:00,Software Engineering,,FLAG_R2_SPLIT
EMP_215,AWS Cloud Services,1562.45,2025-02-07 08:11:00,HR & Recruitment,,FLAG_R2_SPLIT
EMP_215,AWS Cloud Services,1463.1,2025-02-07 08:23:00,HR & Recruitment,,FLAG_R2_SPLIT
EMP_217,AWS Cloud Services,1597.66,2025-10-24 19:49:00,Corporate Marketing,APAC,FLAG_R2_SPLIT
EMP_217,AWS Cloud Services,1616.48,2025-10-24 20:01:00,Corporate Marketing,APAC,FLAG_R2_SPLIT
EMP_231,AWS Cloud Services,2496.8,2025-02-02 08:25:00,Field Sales,APAC,FLAG_R2_SPLIT
EMP_231,AWS Cloud Services,2565.84,2025-02-02 08:37:00,Field Sales,APAC,FLAG_R2_SPLIT
EMP_239,AWS Cloud Services,2618.66,2025-03-22 22:21:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_239,AWS Cloud Services,2612.18,2025-03-22 22:33:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_250,AWS Cloud Services,2717.76,2025-11-12 00:06:00,Field Sales,,FLAG_R2_SPLIT
EMP_250,AWS Cloud Services,2450.72,2025-11-12 00:18:00,Field Sales,,FLAG_R2_SPLIT
EMP_267,AWS Cloud Services,1429.57,2025-03-05 18:00:00,Software Engineering,EMEA,FLAG_R2_SPLIT
EMP_267,AWS Cloud Services,1649.5,2025-03-05 18:12:00,Software Engineering,EMEA,FLAG_R2_SPLIT
EMP_274,AWS Cloud Services,1424.36,2025-02-20 12:48:00,Software Engineering,LATAM,FLAG_R2_SPLIT
EMP_274,AWS Cloud Services,1593.81,2025-02-20 13:00:00,Software Engineering,LATAM,FLAG_R2_SPLIT
EMP_275,AWS Cloud Services,1487.46,2025-08-07 20:01:00,Software Engineering,,FLAG_R2_SPLIT
EMP_275,AWS Cloud Services,1627.24,2025-08-07 20:13:00,Software Engineering,,FLAG_R2_SPLIT
EMP_283,AWS Cloud Services,1547.08,2025-05-23 02:13:00,Software Engineering,APAC,FLAG_R2_SPLIT
EMP_283,AWS Cloud Services,1499.03,2025-05-23 02:25:00,Software Engineering,APAC,FLAG_R2_SPLIT
EMP_295,AWS Cloud Services,2573.22,2025-03-08 10:20:00,Field Sales,,FLAG_R2_SPLIT
EMP_295,AWS Cloud Services,2440.3,2025-03-08 10:32:00,Field Sales,,FLAG_R2_SPLIT
EMP_307,AWS Cloud Services,2481.61,2025-09-19 17:56:00,HR & Recruitment,LATAM,FLAG_R2_SPLIT
EMP_307,AWS Cloud Services,2613.73,2025-09-19 18:08:00,HR & Recruitment,LATAM,FLAG_R2_SPLIT
EMP_309,AWS Cloud Services,1624.71,2025-09-21 02:25:00,Software Engineering,LATAM,FLAG_R2_SPLIT
EMP_309,AWS Cloud Services,1642.64,2025-09-21 02:37:00,Software Engineering,LATAM,FLAG_R2_SPLIT
EMP_323,AWS Cloud Services,2749.87,2025-04-08 10:51:00,Software Engineering,LATAM,FLAG_R2_SPLIT
EMP_323,AWS Cloud Services,2302.81,2025-04-08 11:03:00,Software Engineering,LATAM,FLAG_R2_SPLIT
EMP_338,AWS Cloud Services,1408.54,2025-12-12 18:18:00,Software Engineering,EMEA,FLAG_R2_SPLIT
EMP_338,AWS Cloud Services,1627.58,2025-12-12 18:30:00,Software Engineering,EMEA,FLAG_R2_SPLIT
EMP_370,AWS Cloud Services,2517.69,2025-03-16 08:30:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_370,AWS Cloud Services,2616.89,2025-03-16 08:42:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_381,AWS Cloud Services,1622.31,2025-09-22 16:32:00,Software Engineering,APAC,FLAG_R2_SPLIT
EMP_381,AWS Cloud Services,1398.92,2025-09-22 16:44:00,Software Engineering,APAC,FLAG_R2_SPLIT
EMP_382,AWS Cloud Services,2728.77,2025-12-06 22:16:00,Field Sales,,FLAG_R2_SPLIT
EMP_382,AWS Cloud Services,2430.28,2025-12-06 22:28:00,Field Sales,,FLAG_R2_SPLIT
EMP_384,AWS Cloud Services,2440.2,2025-01-19 04:30:00,Field Sales,,FLAG_R2_SPLIT
EMP_384,AWS Cloud Services,2727.55,2025-01-19 04:42:00,Field Sales,,FLAG_R2_SPLIT
EMP_408,AWS Cloud Services,1578.03,2025-04-25 23:03:00,Software Engineering,APAC,FLAG_R2_SPLIT
EMP_408,AWS Cloud Services,1442.41,2025-04-25 23:15:00,Software Engineering,APAC,FLAG_R2_SPLIT
EMP_414,AWS Cloud Services,2506.3,2025-03-30 01:39:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_414,AWS Cloud Services,2514.46,2025-03-30 01:51:00,Field Sales,LATAM,FLAG_R2_SPLIT
EMP_423,AWS Cloud Services,1623.71,2025-12-22 01:35:00,Corporate Marketing,EMEA,FLAG_R2_SPLIT
EMP_423,AWS Cloud Services,1556.26,2025-12-22 01:47:00,Corporate Marketing,EMEA,FLAG_R2_SPLIT
EMP_439,AWS Cloud Services,1500.61,2025-03-29 22:07:00,Corporate Marketing,LATAM,FLAG_R2_SPLIT
EMP_439,AWS Cloud Services,1514.63,2025-03-29 22:19:00,Corporate Marketing,LATAM,FLAG_R2_SPLIT
EMP_445,AWS Cloud Services,1592.6,2025-06-29 18:01:00,Supply Chain,,FLAG_R2_SPLIT
EMP_445,AWS Cloud Services,1447.09,2025-06-29 18:13:00,Supply Chain,,FLAG_R2_SPLIT
